System Properties:																																												
Operating System:	 Microsoft Windows NT 6.0.6001 Service Pack 1																																											
System User Name:	 Tobii																																											
Machine Name:	 MOUNTDOOM																																											
Data properties:																																												
Recording name:	 Rec 25																																											
Recording date:	 7/9/2009																																											
Recording time:	 5:54:17 PM																																											
Recording resolution:	 1280 x 800																																											
Export date:	 7/13/2009																																											
Export time:	 12:49:19 PM																																											
Participant:	 P1																																											
Filter settings:																																												
Eye: Average																																												
Validity: Normal																																												
Fixation filter: Tobii fixation filter																																												
Fixation radius: 35																																												
Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp	AudioSampleNumber		
21689	17:54:38.689	00:00:21.688	1301	763.9298	359.453200	0.645385	0.399481	708.944800	3.299852	0	744.771	370.140400	0.486591	0.398139	713.145600	3.769980	0	54	754.000000	365						No media	0	1280	800	0	0	751	358	183	0	Content		754.000000	365	21688864	2509133749	1265126
21702																					MovieStart	128	0	0	69.avi																	
21705	17:54:38.705	00:00:21.705	1302	760.1276	331.151000	0.645457	0.399483	708.981900	3.272157	0	745.6794	364.353400	0.486643	0.398091	713.222500	3.769785	0	54	753.000000	348						No media	0	1280	800	0	0	751	358	183	0	Content		753.000000	348	21705490	2509150375	1265924
21722	17:54:38.722	00:00:21.722	1303	765.0196	355.410600	0.645574	0.399370	709.379300	3.275230	0	743.0782	351.141700	0.486793	0.397947	713.671300	3.745673	0	54	754.000000	353						69.avi	0	1280	800	0	0	751	358	183	0	Content		754.000000	353	21722116	2509167001	1266722
21739	17:54:38.739	00:00:21.738	1304	-1280	-800.000000	-1.000000	-1.000000	-1.000000	-1.000000	4	-1280	-800.000000	-1.000000	-1.000000	-1.000000	-1.000000	4		0.000000	0						69.avi	0	1280	800	0	0				0	Content		0.000000	0	21738741	2509183626	1267520
21755	17:54:38.755	00:00:21.755	1305	-1280	-800.000000	-1.000000	-1.000000	-1.000000	-1.000000	4	-1280	-800.000000	-1.000000	-1.000000	-1.000000	-1.000000	4		0.000000	0						69.avi	0	1280	800	0	0				0	Content		0.000000	0	21755490	2509200375	1268324
21772	17:54:38.772	00:00:21.772	1306	-1280	-800.000000	-1.000000	-1.000000	-1.000000	-1.000000	4	-1280	-800.000000	-1.000000	-1.000000	-1.000000	-1.000000	4		0.000000	0						69.avi	0	1280	800	0	0				0	Content		0.000000	0	21772112	2509216997	1269122
21789	17:54:38.789	00:00:21.788	1307	-1280	-800.000000	-1.000000	-1.000000	-1.000000	-1.000000	4	-1280	-800.000000	-1.000000	-1.000000	-1.000000	-1.000000	4		0.000000	0						69.avi	0	1280	800	0	0				0	Content		0.000000	0	21788738	2509233623	1269920
21805	17:54:38.805	00:00:21.805	1308	-1280	-800.000000	-1.000000	-1.000000	-1.000000	-1.000000	4	-1280	-800.000000	-1.000000	-1.000000	-1.000000	-1.000000	4		0.000000	0						69.avi	0	1280	800	0	0				0	Content		0.000000	0	21805361	2509250246	1270718
21822	17:54:38.822	00:00:21.822	1309	-1280	-800.000000	-1.000000	-1.000000	-1.000000	-1.000000	4	-1280	-800.000000	-1.000000	-1.000000	-1.000000	-1.000000	4		0.000000	0						69.avi	0	1280	800	0	0				0	Content		0.000000	0	21822114	2509266999	1271522
21839	17:54:38.839	00:00:21.838	1310	-1280	-800.000000	-1.000000	-1.000000	-1.000000	-1.000000	4	-1280	-800.000000	-1.000000	-1.000000	-1.000000	-1.000000	4		0.000000	0						69.avi	0	1280	800	0	0				0	Content		0.000000	0	21838739	2509283624	1272320
21855	17:54:38.855	00:00:21.855	1311	-1280	-800.000000	-1.000000	-1.000000	-1.000000	-1.000000	4	-1280	-800.000000	-1.000000	-1.000000	-1.000000	-1.000000	4		0.000000	0						69.avi	0	1280	800	0	0				0	Content		0.000000	0	21855407	2509300292	1273120
21872	17:54:38.872	00:00:21.872	1312	-1280	-800.000000	-1.000000	-1.000000	-1.000000	-1.000000	4	-1280	-800.000000	-1.000000	-1.000000	-1.000000	-1.000000	4		0.000000	0						69.avi	0	1280	800	0	0				0	Content		0.000000	0	21872072	2509316957	1273920
21889	17:54:38.889	00:00:21.888	1313	-1280	-800.000000	-1.000000	-1.000000	-1.000000	-1.000000	4	-1280	-800.000000	-1.000000	-1.000000	-1.000000	-1.000000	4		0.000000	0						69.avi	0	1280	800	0	0				0	Content		0.000000	0	21888741	2509333626	1274720
21905	17:54:38.905	00:00:21.905	1314	685.6428	350.488700	0.646118	0.399063	709.254200	3.382310	0	692.714	346.483500	0.487229	0.397435	713.579700	3.892570	0	55	689.000000	348						69.avi	0	1280	800	0	0	687	347	117	0	Content		689.000000	348	21905362	2509350247	1275518
21922	17:54:38.922	00:00:21.921	1315	692.2501	344.758500	0.646063	0.399104	709.424100	3.357183	0	682.0577	351.410800	0.487099	0.397600	713.289100	3.946825	0	55	687.000000	348						69.avi	0	1280	800	0	0	687	347	117	0	Content		687.000000	348	21921987	2509366872	1276316
21939	17:54:38.939	00:00:21.938	1316	687.4677	367.451400	0.645980	0.399126	709.605100	3.362659	0	683.6503	324.413600	0.487016	0.397769	712.998100	3.901344	0	55	686.000000	346						69.avi	0	1280	800	0	0	687	347	117	0	Content		686.000000	346	21938608	2509383493	1277114
21955	17:54:38.955	00:00:21.955	1317	689.7826	354.474000	0.645925	0.399090	709.695400	3.366415	0	684.8636	334.568700	0.486924	0.397734	713.195900	3.867112	0	55	687.000000	345						69.avi	0	1280	800	0	0	687	347	117	0	Content		687.000000	345	21955357	2509400242	1277918
21972	17:54:38.972	00:00:21.971	1318	687.492	340.221300	0.645832	0.398954	709.368500	3.325527	0	686.761	348.777600	0.486875	0.397662	713.146900	3.874879	0	55	687.000000	344						69.avi	0	1280	800	0	0	687	347	117	0	Content		687.000000	344	21971984	2509416869	1278716
21989	17:54:38.989	00:00:21.988	1319	693.8172	342.347700	0.645795	0.399026	709.415300	3.334593	0	680.9985	338.423500	0.486775	0.397754	713.630100	3.862913	0	55	687.000000	340						69.avi	0	1280	800	0	0	687	347	117	0	Content		687.000000	340	21988606	2509433491	1279514
22005	17:54:39.005	00:00:22.005	1320	691.5661	355.688500	0.645770	0.399086	709.474700	3.359124	0	684.4923	360.952500	0.486753	0.397850	713.734300	3.893252	0	55	688.000000	358						69.avi	0	1280	800	0	0	687	347	117	0	Content		688.000000	358	22005232	2509450117	1280312
22022	17:54:39.022	00:00:22.021	1321	612.131	363.572800	0.646229	0.399477	709.468800	3.359010	0	638.0316	373.086600	0.487287	0.398121	713.659700	3.875340	0	56	625.000000	368						69.avi	0	1280	800	0	0	583	466	200	0	Content		625.000000	368	22021980	2509466865	1281116
