AudioSampleNumber	Action	Name	AudioSampleCut	VideoFrameCut
224994	MovieStart	colorbars_Final.avi	224385.500000	262.500000
1183575	MovieEnd	colorbars_Final.avi	1264359.500000	1583.500000
1265126	MovieStart	69.avi	1264359.500000	1583.500000
2860816	LeftMouseClick			
2933570	LeftMouseClick			
3193403	LeftMouseClick			
3244589	LeftMouseClick			
4098446	MovieEnd	69.avi		
4112036	InstructionStart	Emotion keyword		
4736407	KeyPress	D3		
4736407	InstructionEnd	Emotion keyword		
4751598	InstructionStart	Arousal assessment		
5314417	KeyPress	D4		
5314417	InstructionEnd	Arousal assessment		
5325606	InstructionStart	Valence assessment		
5917208	KeyPress	D3		
5917208	InstructionEnd	Valence assessment		
5929201	InstructionStart	Dominance assessment		
6260977	KeyPress	D1		
6261775	InstructionEnd	Dominance assessment		
6272166	InstructionStart	Predictability assessment		
6905334	KeyPress	D5		
6905334	InstructionEnd	Predictability assessment	6984605.500000	8849.500000
6985282	MovieStart	seagulls_Final.avi	6984605.500000	8849.500000
7799923	MovieEnd	seagulls_Final.avi	7882084.500000	9989.500000
7882264	MovieStart	55.avi	7882084.500000	9989.500000
11578968	MovieEnd	55.avi		
11594153	InstructionStart	Emotion keyword		
12343257	KeyPress	D8		
12343257	InstructionEnd	Emotion keyword		
12358440	InstructionStart	Arousal assessment		
12940529	KeyPress	D6		
12940529	InstructionEnd	Arousal assessment		
12949324	InstructionStart	Valence assessment		
13195558	KeyPress	D3		
13195558	InstructionEnd	Valence assessment		
13205949	InstructionStart	Dominance assessment		
13481765	KeyPress	D1		
13482569	InstructionEnd	Dominance assessment		
13494556	InstructionStart	Predictability assessment		
13910286	KeyPress	D7		
13911084	InstructionEnd	Predictability assessment	13990451.500000	17748.500000
13991033	MovieStart	sticks_Final.avi	13990451.500000	17748.500000
14928798	MovieEnd	sticks_Final.avi	15015467.500000	19050.500000
15015939	MovieStart	58.avi	15015467.500000	19050.500000
17849234	MovieEnd	58.avi		
17862025	InstructionStart	Emotion keyword		
18209792	KeyPress	D2		
18210596	InstructionEnd	Emotion keyword		
18221785	InstructionStart	Arousal assessment		
18390475	KeyPress	D8		
18390475	InstructionEnd	Arousal assessment		
18404063	InstructionStart	Valence assessment		
18681482	KeyPress	D9		
18682280	InstructionEnd	Valence assessment		
18697471	InstructionStart	Dominance assessment		
19085211	KeyPress	D5		
19085211	InstructionEnd	Dominance assessment		
19094804	InstructionStart	Predictability assessment		
19398602	KeyPress	D5		
19398602	InstructionEnd	Predictability assessment	19480030.500000	24721.500000
19480146	MovieStart	waves_Final.avi	19480030.500000	24721.500000
20540231	MovieEnd	waves_Final.avi	20632582.500000	26185.500000
20632970	MovieStart	earworm_f.avi	20632582.500000	26185.500000
23225648	MovieEnd	earworm_f.avi		
23236045	InstructionStart	Emotion keyword		
23449530	KeyPress	D5		
23450330	InstructionEnd	Emotion keyword		
23463924	InstructionStart	Arousal assessment		
23662203	KeyPress	D7		
23662203	InstructionEnd	Arousal assessment		
23674189	InstructionStart	Valence assessment		
23964383	KeyPress	D5		
23964383	InstructionEnd	Valence assessment		
23974770	InstructionStart	Dominance assessment		
24557582	KeyPress	D3		
24557582	InstructionEnd	Dominance assessment		
24567971	InstructionStart	Predictability assessment		
24846996	KeyPress	D1		
24847800	InstructionEnd	Predictability assessment	24927884.500000	31641.500000
24928546	MovieStart	colorbars_Final.avi	24927884.500000	31641.500000
25889513	MovieEnd	colorbars_Final.avi	25971007.500000	32966.500000
25971056	MovieStart	53.avi	25971007.500000	32966.500000
31012551	MovieEnd	53.avi		
31021345	InstructionStart	Emotion keyword		
31421875	KeyPress	D4		
31421875	InstructionEnd	Emotion keyword		
31435471	InstructionStart	Arousal assessment		
31948725	KeyPress	D6		
31948725	InstructionEnd	Arousal assessment		
31959919	InstructionStart	Valence assessment		
32159788	KeyPress	D3		
32160586	InstructionEnd	Valence assessment		
32172579	InstructionStart	Predictability assessment		
32442004	KeyPress	D9		
32442804	InstructionEnd	Predictability assessment	32524177.500000	41290.500000
32524348	MovieStart	seagulls_Final.avi	32524177.500000	41290.500000
33337396	MovieEnd	seagulls_Final.avi	33416932.500000	42424.500000
