System Properties:
Operating System:	 Microsoft Windows NT 6.0.6001 Service Pack 1
System User Name:	 Tobii
Machine Name:	 MOUNTDOOM

Data properties:

Recording name:	 Rec 39
Recording date:	 7/23/2009
Recording time:	 2:55:53 PM
Recording resolution:	 1280 x 800

Export date:	 8/11/2009
Export time:	 4:00:29 PM

Participant:	 P9
Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Fixation radius: 35

Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp	AudioSampleNumber	
21774	14:56:14.774	00:00:21.773	1306	645.0123	310.079300	0.617288	0.346935	617.119100	3.919956	0	655.8611	319.511100	0.429419	0.351462	612.823900	4.004151	0	61	650.000000	315						No media	0	1280	800	0	0	652	318	633	0	Content		650.000000	315	21773641	15118004237	1623268
21782																					MovieStart	128	0	0	55.avi																	
21790	14:56:14.790	00:00:21.790	1307	647.7384	314.058000	0.617315	0.346973	617.077500	3.928718	0	659.9533	312.345300	0.429460	0.351500	612.899500	4.013826	0	61	654.000000	313						No media	0	1280	800	0	0	652	318	633	0	Content		654.000000	313	21790274	15118020870	1624066
21807	14:56:14.807	00:00:21.806	1308	650.4249	318.762100	0.617329	0.346957	617.079400	3.939465	0	653.7291	319.555000	0.429487	0.351476	612.971400	4.034574	0	61	652.000000	319						55.avi	0	1280	800	0	0	652	318	633	0	Content		652.000000	319	21806890	15118037486	1624863
21824	14:56:14.824	00:00:21.823	1309	645.1905	328.437500	0.617340	0.346950	617.058000	3.941282	0	661.22	316.141500	0.429498	0.351484	613.020300	4.032611	0	61	653.000000	322						55.avi	0	1280	800	0	0	652	318	633	0	Content		653.000000	322	21823638	15118054234	1625667
21840	14:56:14.840	00:00:21.840	1310	641.6919	321.850000	0.617348	0.346906	617.095900	3.951362	0	658.0092	311.050800	0.429487	0.351492	613.041200	4.034800	0	61	650.000000	316						55.avi	0	1280	800	0	0	652	318	633	0	Content		650.000000	316	21840264	15118070860	1626465
21857	14:56:14.857	00:00:21.856	1311	649.4138	323.837800	0.617351	0.346887	617.083300	3.943933	0	660.5748	310.779800	0.429490	0.351486	612.993700	4.043411	0	61	655.000000	317						55.avi	0	1280	800	0	0	652	318	633	0	Content		655.000000	317	21856886	15118087482	1627263
21874	14:56:14.874	00:00:21.873	1312	650.6213	324.487800	0.617371	0.346868	617.083600	3.958767	0	650.455	311.131700	0.429485	0.351473	612.983700	4.064367	0	61	651.000000	318						55.avi	0	1280	800	0	0	652	318	633	0	Content		651.000000	318	21873523	15118104119	1628062
21890	14:56:14.890	00:00:21.890	1313	654.2361	320.489800	0.617393	0.346861	617.084400	3.949469	0	655.1132	317.239400	0.429505	0.351386	612.997300	4.062757	0	61	655.000000	319						55.avi	0	1280	800	0	0	652	318	633	0	Content		655.000000	319	21890259	15118120855	1628865
21907	14:56:14.907	00:00:21.906	1314	651.3819	330.284500	0.617437	0.346843	617.016200	3.962174	0	650.8546	316.324900	0.429534	0.351347	613.001300	4.074456	0	61	651.000000	323						55.avi	0	1280	800	0	0	652	318	633	0	Content		651.000000	323	21906884	15118137480	1629663
21924	14:56:14.924	00:00:21.923	1315	648.9044	328.997600	0.617487	0.346841	617.068900	3.987182	0	655.4795	321.779700	0.429586	0.351322	612.867200	4.070528	0	61	652.000000	325						55.avi	0	1280	800	0	0	652	318	633	0	Content		652.000000	325	21923519	15118154115	1630462
21940	14:56:14.940	00:00:21.940	1316	652.1984	323.546900	0.617532	0.346910	617.068700	3.976439	0	651.3327	312.108100	0.429623	0.351372	613.060500	4.058528	0	61	652.000000	318						55.avi	0	1280	800	0	0	652	318	633	0	Content		652.000000	318	21940126	15118170722	1631259
21957	14:56:14.957	00:00:21.956	1317	645.8705	318.221100	0.617552	0.346946	617.092100	3.993284	0	645.4117	320.581100	0.429652	0.351392	613.107800	4.101073	0	61	646.000000	319						55.avi	0	1280	800	0	0	652	318	633	0	Content		646.000000	319	21956875	15118187471	1632063
21974	14:56:14.974	00:00:21.973	1318	649.9872	321.154400	0.617576	0.347035	617.102500	4.001482	0	654.123	310.999600	0.429670	0.351454	613.122400	4.075435	0	61	652.000000	316						55.avi	0	1280	800	0	0	652	318	633	0	Content		652.000000	316	21973511	15118204107	1632861
